file,src,t0,t1,dur,status,speaker_basis,stem_margin_db,utterance_ids,speaker_decisions,visual_label_ids,text,sha256
quarantine/src_15_21.74-26.88.wav,src_15,21.74,26.88,5.14,quarantine,calibrated_audio,10.88,154;155,auto_accept;auto_accept,,啊啊这这这这这这这。😊 / 小七，你们跟强队。😡,514df34349242e3169a9f83b270538083f5d1a6ae8c90162e6a9029626298cee
accepted/src_16_2.14-6.18.wav,src_16,2.14,6.18,4.04,accepted,calibrated_audio,28.53,158;159,auto_accept;auto_accept,,快乐这个。😊 / Surprise.,a01df8bcb1d8036bb77c2dfbe6835382a91ac3973ef772237ffd2a3b596b8cbb
accepted/src_16_29.36-35.32.wav,src_16,29.36,35.32,5.96,accepted,calibrated_audio,18.54,169;170,auto_accept;auto_accept,,还好我位于臭猫，打开你的手机。😡 / 在我们的家庭分组里就能看哦。😊,fc9a46f0ca6f90c39430b744934ef61f1b458194f6eea83f360305dcbdb8b623
accepted/src_17_2.16-5.42.wav,src_17,2.16,5.42,3.26,accepted,calibrated_audio,22.80,175,auto_accept,,蜗牛好久没见了，是不是要庆祝一下？😡,b0977cdab4f1d85b3c2633d1d6adf73fad73efd5a921f679810a7db550c1b91a
accepted/src_17_8.26-14.92.wav,src_17,8.26,14.92,6.66,accepted,calibrated_audio,20.03,176;177,auto_accept;auto_accept,,什么你到村长了。😡 / 赶紧庆祝一下，你有本事天天可以当村长啊。😡,24b0e7b3d904386eb136bb137aa1c79edef18506105837d3a23ff86c5550a8fb
accepted/src_18_22.10-26.36.wav,src_18,22.10,26.36,4.26,accepted,calibrated_audio,36.39,189;190,auto_accept;auto_accept,,小区。 / 这妙脆角看起来好好吃哦，吃不了。😡,58a92a69eb1ad403b53e30a1d0a0ad1b96b98acbc69cfcdc96646f3acc444cb8
accepted/src_18_46.12-50.22.wav,src_18,46.12,50.22,4.10,accepted,calibrated_audio,28.63,196;197,auto_accept;auto_accept,,那有你没事吗？哎呀呀别碰。😊 / 呃，对了。,576b16fec4be406aa9e34707bec76e40edce17ea27dacd02557d8cc6731a0800
quarantine/src_19_3.72-6.80.wav,src_19,3.72,6.80,3.08,quarantine,calibrated_audio,-5.78,202,auto_accept,,鱼蚣。😊,210ecbc2b8aa1f19124587258133c43a5111ec7f51c07f518cf0a93027435295
accepted/src_19_10.58-14.64.wav,src_19,10.58,14.64,4.06,accepted,calibrated_audio,24.20,204,auto_accept,,我有办法，我反方向旋转，拧断他的头就好了。😡,28b66e8dc7468e19f236166c44e19e7eb080d75ac63c4e721102356fefcbe036
quarantine/src_20_21.66-26.48.wav,src_20,21.66,26.48,4.82,quarantine,calibrated_audio,6.45,212,auto_accept,,放开来了哇，哎呀爸嗯。😊,6ef6bf94b5a29c00e68e0bb8f6c160a8fe2b24a4a9fdb9271df6639e0156408a
accepted/src_23_36.70-39.72.wav,src_23,36.70,39.72,3.02,accepted,calibrated_audio,24.58,229,auto_accept,,小，没事没事，我先走了。咿呀。😡,e2eb35369e11f86cdf61530bd7987f3907559b841496f92facfa66ee77678869
quarantine/src_24_0.04-6.70.wav,src_24,0.04,6.70,6.66,quarantine,calibrated_audio,10.08,233;234;235,auto_accept;auto_accept;auto_accept,,我玩了两劫，这次轮到我的规则了吧，那你说。😡 / 这次我们比速度。😡 / 开始学豆角。😡,fc99dfb4d9d81f8dfa3b65e1a89ef9f791b76db0ba2ce7db234a9b5af590eeb0
accepted/src_24_17.02-22.32.wav,src_24,17.02,22.32,5.30,accepted,calibrated_audio,24.54,237,auto_accept,,谁死了，我出来了，不色龙了，我出来了。😊,c824c0d7933282eb3fde579ada9a8e8ac8055fb9a5c14738a09d46828bf2be77
quarantine/src_26_12.06-17.86.wav,src_26,12.06,17.86,5.80,quarantine,calibrated_audio,2.31,260;261;262,auto_accept;auto_accept;auto_accept,,欺人太煞接招。😡 / 小雷龙喷火。😡 / 嗯。,d6cfa1b56b690e32e2060f4fe18ede7e7726318542a4ffa0494cd36d95ec057e
quarantine/src_26_19.56-23.54.wav,src_26,19.56,23.54,3.98,quarantine,calibrated_audio,7.26,263,auto_accept,,你们去了吗？出再多放点自首。😡,ad7d4a1e8d3091cf3160d8e575c963dc722a215bf7a447d2666ab6d8ea4dabb9
accepted/src_27_11.16-15.30.wav,src_27,11.16,15.30,4.14,accepted,calibrated_audio,18.48,267,auto_accept,,我有办法，那我没主题步，不咬一口就好了。😮,3f6b0e621c7ed183bd798d629e5a71fde8fa19c7f5c7661a895cacd5da0bf04d
accepted/src_28_25.18-29.14.wav,src_28,25.18,29.14,3.96,accepted,calibrated_audio,25.89,274,auto_accept,,你做的饭呃呃，糟糕忘记做饭了。😡,f491fd058aab8fcd73329f2d550a683a24b062c5510f0ef224ff057c0afb5e68
accepted/src_29_18.56-21.62.wav,src_29,18.56,21.62,3.06,accepted,calibrated_audio,39.78,290;291,auto_accept;auto_accept,,你们给我等着。😡 / 包 you7!,752a7008314b6645b3290c252bfc59fffc61cbb9976935c4a3ab8efcd7b31ea5
accepted/src_29_48.76-53.38.wav,src_29,48.76,53.38,4.62,accepted,calibrated_audio,38.69,298;299;300,auto_accept;auto_accept;auto_accept,,增强肌肤抵抗力。😡 / 修护也要逼分两路。😡 / 小天的皮肤摇还小姑。😡,32e76846af8e78113a5b503753ded20e721f8b9c868955ef246dda0f01959b41
accepted/src_32_0.04-3.44.wav,src_32,0.04,3.44,3.40,accepted,calibrated_audio,19.80,311,auto_accept,,气，你这饼太小了，我给你选个大饼。😡,c408a8b34bf13d30a5b4d9077c80533c4810bbda30c491ca77ee828cfa4dd098
quarantine/src_32_11.88-17.88.wav,src_32,11.88,17.88,6.00,quarantine,calibrated_audio,11.56,314,auto_accept,,耶，我是大兵大龙鼠要回来了。😊,28ff492da178057cd0e7e53536314bb90ef7557173efb77cc398b742e55b4462
quarantine/src_34_0.28-5.44.wav,src_34,0.28,5.44,5.16,quarantine,calibrated_audio,9.84,330;331,auto_accept;auto_accept,,小这做玩那只烧鸡，绝对不是我丢去。😡 / 我发去。,d6f82acd7724842f08f8ad41219a07d2b341e9c095a19ff0e45e9f4678ae82ff
quarantine/src_34_18.54-26.80.wav,src_34,18.54,26.80,8.26,quarantine,calibrated_audio,13.46,335;336,auto_accept;auto_accept,,你以为我怕你吗？我根本不在怕的。😡 / 我发誓。😡,18bc293bf044c87479e69910b69fb966e1e1ac0577a5b863e951c478d0d5eaa7
accepted/src_35_43.28-48.12.wav,src_35,43.28,48.12,4.84,accepted,calibrated_audio,18.48,347,auto_accept,,妖毛哥哥，我再也不玩火了你。😔,67b9f8d537e3e28dfe1280e485cd9a194f00f1f10f3bf5b728a44626c7dabfe4
quarantine/src_36_1.72-6.22.wav,src_36,1.72,6.22,4.50,quarantine,calibrated_audio,12.12,348;349,auto_accept;auto_accept,,看我不把你们的钱包榨干。😡 / 发飙了发飙了嗯。😡,ffa20074ab03e2cf1dce7d3d2629324eb33ac5009a3a7dd452f13e7677d523b0
quarantine/src_36_9.42-13.92.wav,src_36,9.42,13.92,4.50,quarantine,calibrated_audio,11.25,351;352,auto_accept;auto_accept,,不要放飙啊。😡 / 帮抱龙，你快憋回去。😡,7446327aeaf8ef5dff7985302860e17dacc70bcd21b2487dc3c799eafbec437d
quarantine/src_36_17.70-23.90.wav,src_36,17.70,23.90,6.20,quarantine,calibrated_audio,12.75,354;355,auto_accept;auto_accept,,10.1标。😡 / 击中靶仙，大奖都归你稳我要玩我要稳。😡,a9f3590789d8ba0b3a952412a08bed0acc80974c865e16c7c0243dadd82491ab
accepted/src_36_33.24-37.32.wav,src_36,33.24,37.32,4.08,accepted,calibrated_audio,17.00,358;359;360,auto_accept;auto_accept;auto_accept,,要干嘛？😡 / 根本不算哦。😡 / 为着马子发射。😡,e2e50d6b51606663138f868b6d5360819b78702e828e9548912e1c5c7f73fb17
quarantine/src_36_52.20-55.68.wav,src_36,52.20,55.68,3.48,quarantine,calibrated_audio,5.82,364;365,auto_accept;auto_accept,,你要你管神龙。😡 / 哎喂。😊,addfe83b48024deeeece3977f41e88696bb39a7172c2c268e76ca25478e26f2b
quarantine/src_37_34.30-37.34.wav,src_37,34.30,37.34,3.04,quarantine,calibrated_audio,9.27,381;382,auto_accept;auto_accept,,喂。 / 好好。😊,a7674be59e685637201ec586e875ded612929bf8e1a564f0c1425656615d115d
quarantine/src_37_53.16-57.56.wav,src_37,53.16,57.56,4.40,quarantine,calibrated_audio,4.67,385;386;387,auto_accept;auto_accept;auto_accept,,深真有罩义。 / 速度有。 / 周立。😡,7d0c7556946988a570a53a7a9403df02793f82f3f8d85b7e5823cd4d4275d859
quarantine/src_38_42.64-46.40.wav,src_38,42.64,46.40,3.76,quarantine,calibrated_audio,1.39,400;401,auto_accept;auto_accept,,让我们一起喝仗义。😡 / 用用。,a416bf66dfd57c5111c3fa1441c4b077c93ab4498054e0eadc100120233dbcf3
quarantine/src_39_0.04-5.68.wav,src_39,0.04,5.68,5.64,quarantine,calibrated_audio,10.48,404;405;406,auto_accept;auto_accept;auto_accept,,嗯啊5。 / 一小时过去了。 / 还没有鱼养。😊,8dada4449da4ea8d89f2bc4185e81112ae496d5226a5c8e4092a935845f3394a
quarantine/src_39_34.46-39.56.wav,src_39,34.46,39.56,5.10,quarantine,calibrated_audio,8.67,414;415;416,auto_accept;auto_accept;auto_accept,,我就不吃。😡 / 还想吃啥？ / 你难道想让我做鱼饵吗？😡,d9ca467e951d80ef690b8828df8ed9dd76b1ff22ddfe1f7c3dab7e13c8a990ab
